,question,answer
2301,"dia sudah cukup umur untuk menjadi ayahku, namun dia mengajakku kencan.","baiklah, kamu tidak bisa menyalahkan pria karena bertanya."
2302,"baiklah, kamu tidak bisa menyalahkan pria karena bertanya.",dia harus bertindak sesuai usianya.
2303,dia harus bertindak sesuai usianya.,tapi banyak orang tua yang masih tertarik untuk berkencan.
2304,tapi banyak orang tua yang masih tertarik untuk berkencan.,mereka harus menemukan hobi yang bagus.
2305,mereka harus menemukan hobi yang bagus.,tunggu saja sampai Anda berusia 50 tahun.
2306,tunggu saja sampai Anda berusia 50 tahun.,berkencan akan menjadi hal terjauh dari pikiranku.
2307,berkencan akan menjadi hal terjauh dari pikiranku.,itulah yang kamu katakan sekarang. tunggu sampai kamu berumur 50.
2308,apakah pacarmu pernah membuatmu marah?,Kadang-kadang.
2309,Kadang-kadang.,apa pekerjaannya?
2310,apa pekerjaannya?,"baru kemarin, aku bilang padanya aku tidak akan menukarnya dengan semua uang di dunia."
2311,"baru kemarin, aku bilang padanya aku tidak akan menukarnya dengan semua uang di dunia.",itu hal yang bagus untuk dikatakan.
2312,itu hal yang bagus untuk dikatakan.,itulah yang saya pikir.
2313,itulah yang saya pikir.,apa yang dia katakan?
2314,apa yang dia katakan?,dia tertawa! dia tidak percaya padaku.
2315,dia tertawa! dia tidak percaya padaku.,itu tidak terlalu baik padanya.
2316,itu tidak terlalu baik padanya.,dia berkata bahwa tidak ada yang lebih penting bagiku selain uang.
2317,dia berkata bahwa tidak ada yang lebih penting bagiku selain uang.,apa katamu?
2318,apa katamu?,Aku bilang padanya aku tidak akan menukarnya dengan wanita lain di dunia.
2319,beberapa orang memiliki hidung yang bagus.,aku berharap aku mempunyai hidung yang bagus. punyaku terlalu besar.
2320,aku berharap aku mempunyai hidung yang bagus. punyaku terlalu besar.,maksudku bukan tampan. maksudku wangi.
2321,maksudku bukan tampan. maksudku wangi.,Oh. tapi itu bisa menjadi kutukan.
2322,Oh. tapi itu bisa menjadi kutukan.,"ya, karena Anda mungkin terlalu sensitif terhadap bau."
2323,"ya, karena Anda mungkin terlalu sensitif terhadap bau.",akan kukatakan. pacar saya memiliki hidung seperti anjing narkoba.
2324,akan kukatakan. pacar saya memiliki hidung seperti anjing narkoba.,apakah dia memergokimu menggunakan narkoba?
2325,apakah dia memergokimu menggunakan narkoba?,semacam. dia tahu setiap kali aku menyelinap sebatang rokok.
2326,semacam. dia tahu setiap kali aku menyelinap sebatang rokok.,Anda tidak memerlukan hidung yang bagus untuk itu—rokok berbau busuk.
2327,Anda tidak memerlukan hidung yang bagus untuk itu—rokok berbau busuk.,"tapi saat aku menyelundupkan satu batang rokok saja di pagi hari, dia bisa mencium baunya malam itu!"
2328,"tapi saat aku menyelundupkan satu batang rokok saja di pagi hari, dia bisa mencium baunya malam itu!","nak, itu hidung yang bagus."
2329,"nak, itu hidung yang bagus.",Aku bilang padanya dia harus melamar pekerjaan di bea cukai.
2330,ayo keluar makan.,itu terdengar menyenangkan.
2331,itu terdengar menyenangkan.,ke mana kamu mau pergi?
2332,ke mana kamu mau pergi?,biarkan aku berpikir sebentar.
2333,biarkan aku berpikir sebentar.,aku merasa seperti orang Cina.
2334,aku merasa seperti orang Cina.,itu kedengarannya lezat.
2335,itu kedengarannya lezat.,aku tahu restoran cina yang bagus.
2336,aku tahu restoran cina yang bagus.,seberapa jauh jaraknya?
2337,seberapa jauh jaraknya?,hanya 10 menit dari sini.
2338,hanya 10 menit dari sini.,apakah kita perlu reservasi?
2339,apakah kita perlu reservasi?,Oh tidak. kita bisa langsung masuk.
2340,Oh tidak. kita bisa langsung masuk.,Ayo pergi sekarang. saya lapar!
2341,Aku tidak percaya berapa panjang garis ini.,"ini restoran yang populer, bukan?"
2342,"ini restoran yang populer, bukan?","ya, tapi ini bukan restoran cepat saji, kan?"
2343,"ya, tapi ini bukan restoran cepat saji, kan?",ini hamburger paling lambat di kota.
2344,ini hamburger paling lambat di kota.,itu karena mereka memasaknya sambil menunggu.
2345,itu karena mereka memasaknya sambil menunggu.,Ya. itulah mengapa ini juga merupakan hamburger terbaik di kota.
2346,Ya. itulah mengapa ini juga merupakan hamburger terbaik di kota.,burger yang enak dan layanan hebat.
2347,burger yang enak dan layanan hebat.,"ya, para pekerjanya sangat sopan."
2348,"ya, para pekerjanya sangat sopan.",dan mereka bersih.
2349,dan mereka bersih.,saya telah datang ke sini selama bertahun-tahun.
2350,saya telah datang ke sini selama bertahun-tahun.,saya juga.
2351,saya juga.,Permisi. mereka baru saja menelepon nomor saya.
2352,makan siangnya enak.,Terima kasih.
2353,Terima kasih.,sup macam apa itu?
2354,sup macam apa itu?,itu sup tomat.
2355,itu sup tomat.,itu rasanya sangat enak.
2356,itu rasanya sangat enak.,aku memasukkan lemon dan mentega ke dalamnya.
2357,aku memasukkan lemon dan mentega ke dalamnya.,sandwichnya juga enak.
2358,sandwichnya juga enak.,semua orang suka sandwich bacon dan tomat.
2359,semua orang suka sandwich bacon dan tomat.,terutama pada roti panggang.
2360,terutama pada roti panggang.,dan acarnya juga enak.
2361,dan acarnya juga enak.,besok kita akan makan nasi dan ikan untuk makan siang.
2362,besok kita akan makan nasi dan ikan untuk makan siang.,saya tidak sabar.
2363,aku memanggil pelayan.,apa masalahnya?
2364,apa masalahnya?,steak ini mengandung terlalu banyak lemak.
2365,steak ini mengandung terlalu banyak lemak.,apa yang kamu ingin pelayan itu lakukan?
2366,apa yang kamu ingin pelayan itu lakukan?,bawakan aku steak yang lebih enak.
2367,bawakan aku steak yang lebih enak.,saya tidak akan melakukan itu.
2368,saya tidak akan melakukan itu.,mengapa tidak?
2369,mengapa tidak?,"mereka akan menjatuhkan steak baru ke lantai, menginjaknya, lalu meludahinya."
2370,"mereka akan menjatuhkan steak baru ke lantai, menginjaknya, lalu meludahinya.",kamu gila.
2371,kamu gila.,lalu pelayan akan tersenyum lebar sambil membawakanmu steak baru.
2372,lalu pelayan akan tersenyum lebar sambil membawakanmu steak baru.,dari mana kamu mendapatkan ide gila ini?
2373,dari mana kamu mendapatkan ide gila ini?,aku biasa memasak di restoran!
2374,Ayo pergi.,tapi kita baru saja tiba.
2375,tapi kita baru saja tiba.,apakah kamu melihat tangan pelayan itu?
2376,apakah kamu melihat tangan pelayan itu?,TIDAK.
2377,TIDAK.,dia memiliki kuku yang kotor.
2378,dia memiliki kuku yang kotor.,Sungguh?
2379,Sungguh?,kukunya hitam!
2380,kukunya hitam!,Itu menjijikkan.
2381,Itu menjijikkan.,dan dia menuangkan air ke dalam gelas kami.
2382,dan dia menuangkan air ke dalam gelas kami.,huh! tidak ada air untukku.
2383,huh! tidak ada air untukku.,aku penasaran apakah kuku juru masaknya juga kotor.
2384,aku penasaran apakah kuku juru masaknya juga kotor.,siapa peduli? Ayo pergi dari sini.
2385,roti panas ini enak.,saya suka restoran ini karena mereka memberi Anda roti gratis.
2386,saya suka restoran ini karena mereka memberi Anda roti gratis.,"baiklah, menurutku kita membayarnya."
2387,"baiklah, menurutku kita membayarnya.",TIDAK. lihat tagihannya ketika kita mendapatkannya. tidak ada biaya untuk rotinya.
2388,TIDAK. lihat tagihannya ketika kita mendapatkannya. tidak ada biaya untuk rotinya.,"enak, apalagi dengan mentega."
2389,"enak, apalagi dengan mentega.",Menurutku sebaiknya kita pergi saja setelah roti kita kenyang.
2390,Menurutku sebaiknya kita pergi saja setelah roti kita kenyang.,mereka mungkin tidak akan menyukainya.
2391,mereka mungkin tidak akan menyukainya.,aku makan begitu banyak roti hingga aku kenyang.
2392,aku makan begitu banyak roti hingga aku kenyang.,kalau begitu berhenti makan rotinya!
2393,kalau begitu berhenti makan rotinya!,"oke, tinggal satu potong lagi. tolong berikan menteganya."
2394,"oke, tinggal satu potong lagi. tolong berikan menteganya.","jika saya memiliki restoran, saya tidak akan pernah menyajikan roti panas sebelum hidangan utama."
2395,"jika saya memiliki restoran, saya tidak akan pernah menyajikan roti panas sebelum hidangan utama.",itu buruk. aku tidak akan pernah pergi ke restoranmu.
2396,apakah ini restoran yang bersih?,"nah, meja dan kursinya terlihat oke."
2397,"nah, meja dan kursinya terlihat oke.","oke, ayo duduk."
2398,"oke, ayo duduk.",lihat peralatan peraknya.
2399,lihat peralatan peraknya.,itu lolos pemeriksaan.
2400,itu lolos pemeriksaan.,ini dia pelayannya. lihat apakah tangan dan kukunya bersih.
2401,inilah pelayannya. lihat apakah tangan dan kukunya bersih.,"nah, pelayannya terlihat bersih, jadi menurutku tidak apa-apa makan di sini."
2402,"nah, pelayannya terlihat bersih, jadi menurutku tidak apa-apa makan di sini.",kamu lupa tentang kamar mandi.
2403,kamu lupa tentang kamar mandi.,aku hanya berharap kamar mandinya bersih.
2404,aku hanya berharap kamar mandinya bersih.,kamu tidak akan memeriksanya sebelum kita memesan makan malam?
2405,kamu tidak akan memeriksanya sebelum kita memesan makan malam?,"tidak, aku lebih suka tidak mengetahui kalau itu kotor, karena aku cukup lapar saat ini."
2406,"tidak, aku lebih suka tidak mengetahui kalau itu kotor, karena aku cukup lapar saat ini.",saya juga. mari lupakan kuman dan fokus pada makanan.
2407,pernahkah kamu melihat pelayan kami?,ini dia datang.
2408,ini dia datang.,kami sudah duduk di sini selama hampir 10 menit.
2409,kami sudah duduk di sini selama hampir 10 menit.,"ups, sepertinya aku salah. itu bukan pelayan kami."
2410,"ups, sepertinya aku salah. itu bukan pelayan kami.","kita bisa memberinya waktu lima menit lagi, lalu pergi."
2411,"kita bisa memberinya waktu lima menit lagi, lalu pergi.",saya akan maju ke depan dan berbicara dengan manajer.
2412,saya akan maju ke depan dan berbicara dengan manajer.,itu ide yang bagus.
2413,itu ide yang bagus.,mungkin mereka akan memberi kita minuman gratis karena menunggu begitu lama.
2414,mungkin mereka akan memberi kita minuman gratis karena menunggu begitu lama.,mungkin dia akan segera mengirimkan pelayan kami kepada kami.
2415,mungkin dia akan segera mengirimkan pelayan kami kepada kami.,"setiap kali kita makan di luar, itu adalah sebuah petualangan."
2416,"setiap kali kita makan di luar, itu adalah sebuah petualangan.","terakhir kali, kami mendapat tempat duduk di sebelah dapur."
2417,"terakhir kali, kami mendapat tempat duduk di sebelah dapur.",kami tidak akan pernah pergi ke sana lagi.
2418,apakah meja ini oke?,"tidak, itu terlalu dekat dengan pintu dapur."
2419,"tidak, itu terlalu dekat dengan pintu dapur.",bagaimana dengan meja ini?
2420,bagaimana dengan meja ini?,"tidak, itu terlalu dekat dengan pintu depan."
2421,"tidak, itu terlalu dekat dengan pintu depan.",ini sepertinya meja yang bagus.
2422,ini sepertinya meja yang bagus.,"tidak, itu terlalu dekat dengan salad bar."
2423,"tidak, itu terlalu dekat dengan salad bar.","oke, aku menyerah."
2424,"oke, aku menyerah.","baiklah, ada satu meja yang bagus."
2425,"baiklah, ada satu meja yang bagus.",Besar. yang mana?
2426,Besar. yang mana?,yang itu. sekelompok delapan orang baru saja duduk di sana.
2427,saya tidak percaya dunia seni.,ada apa kali ini?
2428,ada apa kali ini?,gambar andy warhol.
2429,gambar andy warhol.,dia artis terkenal.
2430,dia artis terkenal.,dia menggambar dua kupu-kupu dan sekuntum bunga di atas serbet di sebuah restoran.
2431,dia menggambar dua kupu-kupu dan sekuntum bunga di atas serbet di sebuah restoran.,apakah dia menandatanganinya?
2432,apakah dia menandatanganinya?,Ya.
2433,Ya.,apakah itu indah?
2434,apakah itu indah?,itu hanya tinta hitam di atas serbet putih. dan serbetnya ada noda makanan!
2435,itu hanya tinta hitam di atas serbet putih. dan serbetnya ada noda makanan!,jadi itu tidak bernilai banyak?
2436,jadi itu tidak bernilai banyak?,"hanya sekitar $30,000."
2437,"hanya sekitar $30,000.","tanpa noda makanan, mungkin akan lebih berharga."
2438,bisakah kita pergi ke pertandingan bisbol?,Tentu saja.
2439,Tentu saja.,saya suka bisbol.
2440,saya suka bisbol.,Saya juga.
2441,Saya juga.,saya suka makan kacang.
2442,saya suka makan kacang.,saya suka makan hot dog.
2443,saya suka makan hot dog.,Saya harap kita akan melihat home run.
2444,Saya harap kita akan melihat home run.,kuharap kita akan menangkap bola kotor.
2445,kuharap kita akan menangkap bola kotor.,membawa jaket.
2446,membawa jaket.,Ya. itu menjadi sedikit dingin di malam hari.
2447,Ya. itu menjadi sedikit dingin di malam hari.,membawa sarung tangan untuk menangkap bola busuk.
2448,membawa sarung tangan untuk menangkap bola busuk.,TIDAK. aku hanya akan menggunakan topiku untuk menangkap bola busuk.
2449,golf adalah permainan konyol.,memang demikian.
2450,memang demikian.,kamu memukul bola putih.
2451,kamu memukul bola putih.,lalu kamu mengejarnya.
2452,lalu kamu mengejarnya.,lalu kamu memukulnya lagi.
2453,lalu kamu memukulnya lagi.,"terakhir, Anda memasukkan bola ke dalam lubang di tanah."
2454,"terakhir, Anda memasukkan bola ke dalam lubang di tanah.","anda melakukan ini sebanyak 18 kali, karena ada 18 lubang."
2455,"anda melakukan ini sebanyak 18 kali, karena ada 18 lubang.",apa gunanya?
2456,apa gunanya?,bagaimana itu bisa menyenangkan?
2457,bagaimana itu bisa menyenangkan?,mereka membayar uang untuk memainkan permainan konyol ini!
2458,mereka membayar uang untuk memainkan permainan konyol ini!,Saya pikir pegolf punya masalah mental.
2459,Saya pikir pegolf punya masalah mental.,menurutku mereka gila.
2460,apakah kamu ingin pergi memancing?,Ya. itu ide yang bagus.
2461,Ya. itu ide yang bagus.,ke mana kamu mau pergi?
2462,ke mana kamu mau pergi?,kita bisa pergi ke sungai.
2463,kita bisa pergi ke sungai.,atau kita bisa pergi ke danau.
2464,atau kita bisa pergi ke danau.,atau kita bisa pergi ke laut.
2465,atau kita bisa pergi ke laut.,ayo pergi ke danau.
2466,ayo pergi ke danau.,Ya. danau ini hanya berjarak 10 mil.
2467,Ya. danau ini hanya berjarak 10 mil.,kita bisa sampai di sana dalam 20 menit.
2468,kita bisa sampai di sana dalam 20 menit.,aku akan mengambil pancing kita.
2469,aku akan mengambil pancing kita.,aku akan mengambil umpannya.
2470,aku akan mengambil umpannya.,kita akan makan ikan segar untuk makan malam!
2471,bisbol itu menyenangkan.,saya suka memukul bola.
2472,saya suka memukul bola.,saya suka berlari di sekitar pangkalan.
2473,saya suka berlari di sekitar pangkalan.,saya suka meluncur ke pangkalan.
2474,saya suka meluncur ke pangkalan.,Ya. sangat menyenangkan untuk meluncur.
2475,Ya. sangat menyenangkan untuk meluncur.,saya ingin menjadi pemain baseball ketika saya besar nanti.
2476,saya ingin menjadi pemain baseball ketika saya besar nanti.,saya juga. saya ingin bermain untuk yankees.
2477,saya juga. saya ingin bermain untuk yankees.,bukan saya. saya ingin bermain untuk para dodgers.
2478,bukan saya. saya ingin bermain untuk para dodgers.,kita harus berlatih setiap hari.
2479,kita harus berlatih setiap hari.,saya tidak suka latihan.
2480,saya tidak suka latihan.,aku juga tidak. itu membosankan.
2481,aku juga tidak. itu membosankan.,tapi latihan membuat sempurna.
2482,ayo jogging.,itu ide yang bagus.
2483,itu ide yang bagus.,aku membeli beberapa sepatu baru.
2484,aku membeli beberapa sepatu baru.,apakah mereka nyaman?
2485,apakah mereka nyaman?,mereka sangat nyaman.
2486,mereka sangat nyaman.,berapa jumlahnya?
2487,berapa jumlahnya?,mereka dijual seharga $80.
2488,mereka dijual seharga $80.,apakah mereka membantu Anda berlari lebih cepat?
2489,apakah mereka membantu Anda berlari lebih cepat?,"tidak, tapi kakiku tidak sakit lagi."
2490,"tidak, tapi kakiku tidak sakit lagi.",maka mereka bernilai setiap sennya.
2491,maka mereka bernilai setiap sennya.,Anda mungkin ingin membeli sepasang.
2492,Anda mungkin ingin membeli sepasang.,aku akan menunggu sampai aku memakai pasangan ini.
2493,harimau adalah pegolf terhebat di dunia.,kamu bisa mengatakannya lagi.
2494,kamu bisa mengatakannya lagi.,tapi aku khawatir dengan harimau.
2495,tapi aku khawatir dengan harimau.,mengapa demikian?
2496,mengapa demikian?,karena dia suka menyelam.
2497,karena dia suka menyelam.,Apa yang salah dengan itu?
2498,Apa yang salah dengan itu?,itu bisa berbahaya.
2499,itu bisa berbahaya.,maksudmu dia bisa tenggelam.
2500,maksudmu dia bisa tenggelam.,dia tidak boleh menyelam sampai dia pensiun.
2501,dia tidak boleh menyelam sampai dia pensiun.,tapi dia menyelam untuk bersantai.
2502,tapi dia menyelam untuk bersantai.,"dia mungkin santai, tapi itu membuatku gugup."
2503,"dia mungkin santai, tapi itu membuatku gugup.","jika istrinya tidak keberatan, sebaiknya kamu juga tidak keberatan."
2504,apakah kamu menonton turnamen golf itu?,yang dimenangkan harimau?
2505,yang dimenangkan harimau?,bagaimana dia melakukannya?
2506,bagaimana dia melakukannya?,itu bukan apa-apa baginya.
2507,itu bukan apa-apa baginya.,dia melakukan putt sejauh 20 kaki pada hole terakhir untuk menang dengan satu pukulan!
2508,dia melakukan putt sejauh 20 kaki pada hole terakhir untuk menang dengan satu pukulan!,dia melakukan pukulan setinggi 25 kaki tahun lalu di turnamen yang sama untuk menang dengan satu pukulan.
2509,dia melakukan pukulan setinggi 25 kaki tahun lalu di turnamen yang sama untuk menang dengan satu pukulan.,menurutku dia berasal dari luar angkasa.
2510,menurutku dia berasal dari luar angkasa.,tidak ada manusia yang bisa bermain golf sebaik itu.
2511,tidak ada manusia yang bisa bermain golf sebaik itu.,"kapan pun dia membutuhkan kesempatan untuk memenangkan turnamen, dia akan melakukan tembakan itu."
2512,"kapan pun dia membutuhkan kesempatan untuk memenangkan turnamen, dia akan melakukan tembakan itu.",tidak ada manusia yang bisa melakukan itu.
2513,tidak ada manusia yang bisa melakukan itu.,seseorang harus memeriksa catatan kelahirannya.
2514,seseorang harus memeriksa catatan kelahirannya.,aku yakin dikatakan dia lahir di mars.
2515,siapa pemain bisbol terhebat?,ada begitu banyak pemain hebat.
2516,ada begitu banyak pemain hebat.,"ya, tapi siapa yang terhebat?"
2517,"ya, tapi siapa yang terhebat?",aku harus mengatakannya sayang Ruth.
2518,aku harus mengatakannya sayang Ruth.,kebanyakan orang akan mengatakan itu.
2519,kebanyakan orang akan mengatakan itu.,dia mengubah permainan.
2520,dia mengubah permainan.,"ya, dia membuat home run menjadi populer."
2521,"ya, dia membuat home run populer.","semua orang mencintainya, di seluruh negeri."
2522,"semua orang mencintainya, di seluruh negeri.",dia membantu menjadikan Yankees tim terbaik yang pernah ada.
2523,dia membantu menjadikan Yankees tim terbaik yang pernah ada.,dan Ruth juga orang yang baik.
2524,dan Ruth juga orang yang baik.,dia selalu mengunjungi rumah sakit untuk menghibur anak-anak yang sakit.
2525,dia selalu mengunjungi rumah sakit untuk menghibur anak-anak yang sakit.,tidak akan pernah ada bayi lagi.
2526,apakah kamu mendengar apa yang terjadi di pertandingan bisbol?,"tidak, tolong beritahu saya."
2527,"tidak, tolong beritahu aku.",seseorang meninju seseorang.
2528,seseorang meninju seseorang.,itu tidak baik.
2529,itu tidak baik.,itu lebih buruk dari itu.
2530,itu lebih buruk dari itu.,bagaimana?
2531,bagaimana?,dua orang terlibat pertengkaran.
2532,dua orang terlibat pertengkaran.,aku yakin mereka sedang minum.
2533,aku yakin mereka sedang minum.,orang ketiga meninju salah satu dari dua orang itu.
2534,orang ketiga meninju salah satu dari dua orang itu.,aku yakin dia juga sedang minum.
2535,aku yakin dia juga sedang minum.,kepala korban terbentur tangga beton dan meninggal.
2536,kepala korban terbentur tangga beton dan meninggal.,itu buruk. tidak bisakah orang-orang bersenang-senang di pertandingan bisbol?
2537,aku ingin pergi ke pertandingan bola.,apakah ada pertandingan malam ini?
2538,apakah ada pertandingan malam ini?,"ya, itu dimulai jam 7 malam."
2539,"ya, itu dimulai jam 7 malam.",bisakah kita mendapatkan tiket?
2540,bisakah kita mendapatkan tiket?,"ya, tapi hanya tiket murah."
2541,"ya, tapi hanya tiket murah.",berapa harganya?
2542,berapa harganya?,harganya masing-masing hanya $5.
2543,harganya masing-masing hanya $5.,itu harga yang bagus.
2544,itu harga yang bagus.,"ya, ini lebih murah daripada hot dog atau bir."
2545,"ya, ini lebih murah daripada hot dog atau bir.",dimana kursinya?
2546,dimana kursinya?,mereka berada di belakang lapangan.
2547,mereka berada di belakang lapangan.,mungkin kita bisa menangkap bola home run.
2548,golf itu sangat sulit.,apa susahnya memukul bola putih kecil?
2549,apa susahnya memukul bola putih kecil?,sulit jika Anda ingin melakukannya dengan benar.
2550,sulit jika Anda ingin melakukannya dengan benar.,maksudmu seperti harimau?
2551,maksudmu seperti harimau?,"tidak, seperti pegolf amatir yang baik."
2552,"tidak, seperti pegolf amatir yang baik.",apa susahnya golf?
2553,apa susahnya golf?,ada banyak hal yang harus kamu lakukan dengan benar.
2554,ada banyak hal yang harus kamu lakukan dengan benar.,seperti apa?
2555,seperti apa?,"seperti menjaga lengan kiri tetap lurus, menundukkan kepala, dan melanjutkan."
2556,"seperti menjaga lengan kiri tetap lurus, menundukkan kepala, dan melanjutkan.",astaga! siapa yang bisa mengingat semua itu?
2557,astaga! siapa yang bisa mengingat semua itu?,Anda perlu mendapatkan banyak pelajaran ketika Anda masih sangat muda.
2558,Anda perlu mendapatkan banyak pelajaran ketika Anda masih sangat muda.,lupakan. golf terdengar lebih seperti pekerjaan daripada kesenangan.
2559,pernahkah kamu mendengar tentang pemain bola?,pelaku narkoba?
2560,pelaku narkoba?,katanya seorang dokter membantunya mengatasi masalah pribadinya.
2561,katanya seorang dokter membantunya mengatasi masalah pribadinya.,dia bilang dia tidak menggunakan narkoba.
2562,dia bilang dia tidak menggunakan narkoba.,dia meminta maaf kepada para penggemar.
2563,dia meminta maaf kepada para penggemar.,liga menskorsnya selama 50 pertandingan.
2564,liga menskorsnya selama 50 pertandingan.,itu akan membuatnya mengeluarkan sejumlah uang.
2565,itu akan membuatnya mengeluarkan sejumlah uang.,"ya, sekitar $7 juta."
2566,"ya, sekitar $7 juta.",itu akan memberinya pelajaran yang baik.
2567,itu akan memberinya pelajaran yang baik.,dia mungkin tidak akan menggunakan narkoba lagi.
2568,dia mungkin tidak akan menggunakan narkoba lagi.,tapi itu tidak akan menghentikan pemain lain untuk menggunakan narkoba.
2569,tapi itu tidak akan menghentikan pemain lain untuk menggunakan narkoba.,TIDAK. semua orang selalu berpikir bahwa mereka tidak akan tertangkap.
2570,kenapa banyak sekali kejahatan?,karena orang tua tidak mengajari anak-anaknya apa yang benar dan apa yang salah.
2571,karena orang tua tidak mengajari anaknya benar dan salah.,itu saja?
2572,itu saja?,"juga, jumlah polisi tidak cukup."
2573,"juga, jumlah polisi tidak cukup.",tapi ada banyak polisi.
2574,tapi ada banyak polisi.,hanya ada satu petugas polisi untuk setiap 100 penjahat.
2575,hanya ada satu petugas polisi untuk setiap 100 penjahat.,tidak bisakah kita mempekerjakan lebih banyak polisi?
2576,tidak bisakah kita mempekerjakan lebih banyak polisi?,TIDAK. itu menghabiskan terlalu banyak uang.
2577,TIDAK. itu menghabiskan terlalu banyak uang.,bukankah kejahatan lebih mahal daripada polisi?
2578,bukankah kejahatan lebih mahal daripada polisi?,"ya, memang demikian."
2579,"ya, memang demikian.",jadi akan lebih murah jika mempekerjakan lebih banyak polisi?
2580,jadi akan lebih murah jika mempekerjakan lebih banyak polisi?,"ya, itu akan terjadi."
2581,ini lingkungan tinggal yang luar biasa.,ya itu.
2582,ya itu.,orangnya ramah.
2583,orangnya ramah.,iya itu mereka.
2584,iya itu mereka.,jalanan dan trotoar bersih.
2585,jalanan dan trotoar bersih.,iya itu mereka.
2586,iya itu mereka.,ada taman yang sangat bagus di dekatnya.
2587,ada taman yang sangat bagus di dekatnya.,ya ada.
2588,ya ada.,saya merasa aman di sini.
2589,saya merasa aman di sini.,tidak ada kejahatan di sini.
2590,tidak ada kejahatan di sini.,aku berharap aku bisa pindah ke sini.
2591,aku berharap aku bisa pindah ke sini.,"mungkin bisa, jika ada yang pindah."
2592,rumah itu terbakar.,Apa yang terjadi?
2593,Apa yang terjadi?,pria itu tertidur.
2594,pria itu tertidur.,apakah dia merokok?
2595,apakah dia merokok?,"ya, dia sedang merokok."
2596,"ya, dia sedang merokok.",apakah dia mati?
2597,apakah dia mati?,"Iya, dia melakukannya. kucingnya juga mati."
2598,"Iya, dia melakukannya. kucingnya juga mati.",itu terlalu buruk. bagaimana dengan alarm asapnya?
2599,itu terlalu buruk. bagaimana dengan alarm asapnya?,baterainya sudah mati.
2600,baterainya sudah mati.,baterai yang bagus akan menyelamatkan nyawanya.
2601,baterai yang bagus akan menyelamatkan nyawanya.,"dia punya rokok, tapi tidak punya baterai."
2602,"dia punya rokok, tapi tidak punya baterai.",itu terjadi sepanjang waktu.
2603,mereka bilang dia telah menyalakan lima belas kebakaran besar.,dia sudah dipenjara tiga kali.
2604,dia sudah dipenjara tiga kali.,mengapa mereka membiarkan dia keluar?
2605,mengapa mereka membiarkan dia keluar?,itu hukum. mereka tidak bisa memenjarakannya selamanya.
2606,itu hukum. mereka tidak bisa memenjarakannya selamanya.,mengapa tidak? semua orang tahu dia pembakar. dia suka menyalakan api.
2607,mengapa tidak? semua orang tahu dia pembakar. dia suka menyalakan api.,aku tidak tahu. terkadang hukum tidak masuk akal.
2608,aku tidak tahu. terkadang hukum tidak masuk akal.,tapi tembakan terakhirnya membunuh seseorang.
2609,tapi tembakan terakhirnya membunuh seseorang.,kali ini mereka menuduhnya melakukan pembunuhan.
2610,kali ini mereka menuduhnya melakukan pembunuhan.,jadi mungkin dia akan masuk penjara selamanya?
2611,jadi mungkin dia akan masuk penjara selamanya?,"aku yakin, aku harap begitu."
2612,"aku yakin, aku harap begitu.",seseorang harus membakarnya.
2613,seseorang harus membakarnya.,itu akan memberinya pelajaran yang bagus.
2614,kenakan sabuk pengamanmu.,Mengapa?
2615,Mengapa?,karena itu akan melindungi Anda jika terjadi kecelakaan.
2616,karena itu akan melindungi Anda jika terjadi kecelakaan.,tapi itu tidak nyaman.
2617,tapi itu tidak nyaman.,itu hukum.
2618,itu hukum.,itu sangat merepotkan.
2619,itu sangat merepotkan.,itu masuk akal.
2620,itu masuk akal.,sangat ketat sehingga sulit bagiku untuk bernapas.
2621,sangat ketat sehingga sulit bagiku untuk bernapas.,tahan nafasmu sampai kita tiba di sana.
2622,tahan nafasmu sampai kita tiba di sana.,"oke, sabuk pengamanku sudah terpasang."
2623,"oke, sabuk pengamanku sudah terpasang.",aku senang kamu tidak banyak mengeluh.
2624,aku senang kamu tidak banyak mengeluh.,aku siap menghadapi kecelakaan.
2625,Apa yang sedang kamu lakukan?,aku akan mengganti bola lampunya. itu terbakar habis.
2626,aku akan mengganti bola lampunya. itu terbakar habis.,kamu berdiri di atas apa?
2627,kamu berdiri di atas apa?,beberapa kamus dan beberapa buku teks.
2628,beberapa kamus dan beberapa buku teks.,kamu gila?
2629,kamu gila?,apa masalahnya?
2630,apa masalahnya?,buku-buku itu akan tergelincir dan kamu akan terjatuh.
2631,buku-buku itu akan tergelincir dan kamu akan terjatuh.,jaraknya hanya beberapa kaki.
2632,jaraknya hanya beberapa kaki.,"bagaimana jika kamu terjatuh saat memegang bola lampu, dan bola lampu itu pecah dan masuk ke matamu?"
2633,"bagaimana jika kamu terjatuh saat memegang bola lampu, dan bola lampu itu pecah dan masuk ke matamu?",aku tidak pernah memikirkan itu.
2634,aku tidak pernah memikirkan itu.,kamu akan buta seumur hidupmu!
2635,kamu akan buta seumur hidupmu!,aku akan mengambil tangga.
2636,apakah kamu melihat genangan air di lantai itu?,Ya. aku menelepon untuk pembersihan.
2637,Ya. aku menelepon untuk bersih-bersih.,genangan air sangat berbahaya.
2638,genangan air sangat berbahaya.,tidak mudah untuk melihatnya.
2639,tidak mudah untuk melihatnya.,tapi sangat mudah untuk tergelincir.
2640,tapi sangat mudah untuk tergelincir.,terutama di lantai licin ini.
2641,terutama di lantai licin ini.,seseorang yang terpeleset bisa melukai punggungnya.
